x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
268.60110718221404,-894.9431115202606,34.67123072948307,-137.5778463789422,2.7723594859024563,0,0,0,0,0
267.84536724333884,-895.635495165363,34.6784597074613,-137.57684425973798,3.2647263562356508,0,2,0,0,0
267.0734381066868,-896.34648047667,34.68379671480507,-137.61745648983438,3.7157067324175,0,2,0,0,0
266.3270506322733,-897.026044420898,34.7177440205589,-137.5137710575356,4.065691569884165,0,2,0,0,0
265.5763419162831,-897.7114233719185,34.71938635762781,-137.37287383241141,4.3996406220710504,0,2,0,0,0
264.7739431494265,-898.4518778752536,34.718074104562405,-137.3273112761055,4.695147667530898,0,2,0,0,0
263.9937724233605,-899.1684631584212,34.73063576668501,-137.25986511478044,4.929523489259636,0,2,0,0,0
263.2597360353684,-899.8525746781379,34.73710497263819,-137.63650779659545,5.0864030077913345,0,2,0,0,0
262.4990175209823,-900.5349123785272,34.741148996911946,-138.42822001817368,5.123434978034341,0,2,0,0,0
261.72584660112625,-901.2096768077463,34.751341636106375,-139.98740740834506,5.136217100191297,0,2,0,0,0
260.9378333822242,-901.8638755548745,34.76216050498188,-141.9862866418314,5.089545006524481,0,2,0,0,0
260.12897223979235,-902.4747354760766,34.76530409306288,-144.0017612769907,5.037291483630581,0,2,0,0,0
259.30807423056103,-903.049423808232,34.76221563462168,-146.13829893308306,4.98298996473153,0,2,0,0,0
258.3986939507886,-903.6473450753838,34.75634671542794,-148.76698695994654,4.900917185074817,0,2,0,0,0
257.4734325778554,-904.1834254385903,34.75954927764833,-151.48432424136968,4.813620993950388,0,2,0,0,0
256.53564496408217,-904.6678421460092,34.754191839881244,-154.89118062193208,4.749017494539681,0,2,0,0,0
255.58385408500908,-905.0852608429268,34.7435254778713,-158.67431589399405,4.67553394497531,0,2,0,0,0
254.61989236011868,-905.4329904429615,34.74301162436605,-162.68186558407524,4.614766323848923,0,2,0,0,0
253.64688775583636,-905.7058246126398,34.7256334040314,-166.73296000898614,4.546394202212078,0,2,0,0,0
252.57944204163505,-905.9221685146913,34.71915646530688,-171.37398513807008,4.488584567528831,0,2,0,0,0
251.51333629671717,-906.0530173964798,34.720129810087386,-176.20188270392154,4.408670055999748,0,2,0,0,0
250.45965957432054,-906.084711715579,34.71111222524196,178.79356687489098,4.328030940204593,0,2,0,0,0
249.42559025774244,-906.0293842693791,34.697812719084325,173.35043941848124,4.254539644474428,0,2,0,0,0
248.4200127039221,-905.8763793772087,34.70006064679474,167.8271493515439,4.175279729996072,0,2,0,0,0
247.37633533158805,-905.6112127415836,34.70388142000884,161.50862808763745,4.065495289838123,0,2,0,0,0
246.39681650942657,-905.236066551879,34.70121189374477,154.89970071458862,3.978008288286509,0,2,0,0,0
245.4861228078953,-904.7595441453159,34.69857168551535,148.4112468979685,3.9056792415369035,0,2,0,0,0
